Occupation,Occurrences
Stoker In Brewery,1
Cabinet Work,1
On Liking To Cabinet-Maker,1
Service,1
Clerk And Town Traveller,1
Clothier'S Servant,1
Employed By Carriage-Manufacturer,1
Wharfinger'S Extra Man,1
Carman In Ironworks,1
Ironworks Labourer,1
Malt Factor,1
Copper-Smiths,1
Iron-Monger,1
Attorney-At-Law,1
House-Agent And Appraiser,1
Road Contractor,1
Mealman,1
Shoemakers-Shop Keeper,1
Worker In Oil And Colour-Shop,1
Pensioner From The Grenadier Guards,1
Tobacco And Snuff Manufacturer,1
School-Master,1
Smith And Carrier,1
Trimming-Manufacturer,1
Carpet Seller,1
Army Officer,1
Army Band,1
Stationer And Rag-Merchant,1
Paper-Hanging Manufacturer,1
Bulider,1
Glove Shop Keeper,1
Comb-Hawker,1
Master Of The Launceston Work-House, Cornwall,1
Clothes-Seller,1
Book-Seller,1
General-Sale-Shop Keeper,1
Lucifer Match-Maker,1
Law Student,1
Royal Artillery,1
Stone-Mason,1
Servant, Private In Royal Artillery,1
Upholsterer'S Porter,1
Floor-Cloth And Carpet-Manufacturer,1
Boot And Shoe Warehouse Owner,1
Glass-Dealer,1
Army Bugleman,1
Steam-Boat Engineer,1
Carriage-Manufacturer,1
Ironworks Owner,1
Brassfounder,1
Night Nurse,1
Gunner, Driver In The Royal Artillery,1
Tinman, Brazier,1
Matron,1
Calico Printer,1
Hardwareman,1
Varnish-Maker,1
Hackey-Coach Proprietor,1
Coach-Wheelwright,1
Sells China And Glass,1
Woollen Draper,1
Keeps The Marquis Of Granby,1
Farmer'S Man,1
Keeps A Confecioner'S Shop,1
Navigator,1
Painter. Glazier,1
Pawnbroker, Silversmith,1
Proprietor Of The Theatre,1
Stone-Merchant,1
Keeps A Hotel,1
Keeps An Upholsterer'S Shop,1
Keeps A Coffe-Shop,1
Coach-Painter,1
Keeps The Haberdashers' Arms Public-House,1
Pensioner Of The Bombay Artillery,1
Proprietor Of The National Baths,1
Deals In Watches,1
Coch-Maker,1
Sergeant-Major In The Royal Artillery,1
Keeps The Plough,1
Copper-Plate Printer,1
Marine-Dtore Dealer,1
Coach-Proprietor,1
Proprietor Of Griffin'S Wharf,1
Owns An Iron-Yard,1
Hoop-Merchant,1
Sells Fruit In The Street,1
Lady'S-Maid,1
Postmaster General,1
Chief Mate On Ship,1
Beer Shop Owner,1
Journeyman Brass-Finisher,1
Chemist, Surgeon,1
Porter And Carman,1
Keeps The King And Queen,1
Clerk In The Custom-House,1
Silk And Trimming Manufacturer,1
Keeps A Bottle-Warehouse,1
Uilder,1
Lace Warehouseman,1
Silk-Stockmaker,1
Slop-Seller,1
Draper And Laceman,1
Publican, Deler In Jewellery,1
Maunfacturer Of Matches,1
Clerk To A Solicitor,1
Miller And Flour-Factor,1
Officer Of The Sheriff Of Middlesex,1
Salesman In Covent-Garden Market,1
Matron Of Hans Town School,1
Marble-Mason,1
Ship-Keeper,1
Genera Dealer,1
Coal And Timber Merchant,1
Keeps The Devonshie Arms,1
Muffin And Crumpet Baker,1
Private In The 16Th Regiment Of Lancers,1
Keeps The Camden Head Public-House,1
Keeps The Earl St. Vincent,1
Malster,1
Captain In The Royal Artillery,1
Keeps A Broker'S Shop, Keeps A Stall In Greenwich Market,1
Engineers, Wheelwrights, And Lead Merchants,1
Dealer In Poultry,1
Farm-Worker,1
Shore-Raker,1
Tinman And Brazier,1
Worked For Vauxhall Water Works Company,1
Wholesale Confectioner,1
Landlord Of The Wheatsheaf Tavern,1
Straw-Bonnet Maker,1
Master Carpenter,1
Secretary To The Vauxhall Water Works Company,1
Leather-Manufacturer,1
38,1
52,1
Apprentice Tailor,1
Servant Of All-Work,1
Went Out Ironing,1
Deliver Bread And To Receive Money,1
Wholesale Glover,1
Wholesale Cheesemonger,1
Had A Skittle-Hall,1
Land-Drainer,1
Glass Painter,1
Lieutenant In The Royal Sappers And Miners,1
Keep The Roebuck Public-House,1
Keeps An Outfitting Shop,1
Dealer In Timber,1
Keep A Sweet-Meat Shop,1
Kept A Beer-Shop,1
Black-Lead Pencil-Maker,1
Hipping Butcher,1
Keep A Boot And Shoe And Tobacconist'S Shop,1
Keep A Ham And Beef Shop,1
Sell Bread,1
Keep A Tobacconists-Shop,1
Keeps A Bottle-Shop,1
Keep The White Hart Public-House,1
Keeps The Granby Arms Public-House,1
Keep The Guy Earl Of Warwick Public-House,1
Potato-Dealer,1
Smith And Brass-Founder,1
Wire-Drawer,1
Soap-Boiler,1
Keeps A Beer-Shop, Broom-Maker,1
Keep The Goat'S-Head Public-House,1
Iron-Merchant,1
Clerk Of Works, Superintendent Of The Lunatic Asylum For The County Of Surrey,1
Dealer In Marine-Stores,1
Knife-Grinder,1
Selling Lucifer Matches,1
Assistant To Laundress,1
Sailing-Master,1
Worked For Baker,1
Apprentice Linendraper,1
Warehouse Girl,1
Sepoy,1
Cabin-Boy,1
Clerk To The Anti-Dry-Rot Company,1
Master Of The West London Union Work-House,1
Boot And Sho Maker,1
Keep The Boot Public-House,1
Silk-Manufacturer,1
Sell Fruit In The Street,1
Keep The Britannia Public-House,1
Keep The Cape Of Good Hope Public-House,1
Dealer In Cane,1
Master-Carrier,1
File-Cutter,1
Keeps A Hair-Dresser'S Shop,1
Master Of The Brig,1
Kept A Ready-Made Baby-Linen Warehouse,1
Keep A Haberdasher'S And Shoe Shop,1
Have Shoemaker'S Shop,1
Looking-Glass Maker,1
Bankers,1
Artifical Florist,1
Keep An Eating-House,1
Mate Of The Brig,1
Have A Stable,1
Keeps A Clothes And Shoe-Shop,1
Trunnell-Maker,1
Keeps The Robarts Arms Public-House,1
Cloth Factor,1
Horsehair Manufacturer,1
Printers And Publishers,1
Silk-Trimming Manufacturer,1
Keeps Greengrocer'S Shop,1
Clothes-Salesman,1
Keep The Bell Public-House,1
Driver In The Royal Artillery,1
Perfumer,1
Serjeant On Board The Vessel,1
Tanners And Hair-Merchants,1
Work At A Hop Warehouse,1
Sergeant Of The 13Th Light Dragoons,,1
Excise Officer,1
Apprentice On A Brig,1
Keep The King'S Arms Tavern,1
Game-Washer,1
Apprentice Bookbinder,1
Assistant To A Linen-Draper,1
Dealer In Game,1
In The Linen Trade,1
Superintendent Of Galley Quay,1
Keep The Thistle And Crown,1
Keep The Vine-Inn,1
Keep A Milliner'S Shop,1
Keep A Baker'S Shop, Bed-Tick Maker,1
Photogenic Plate Manufacturer,1
Keep A Cigar-Shop,1
Costermonger, Deal In Horses,1
Pensioner In The East India Company'S Service,1
Keep The Ship,1
Bookseller And Stationer,1
Keep The New Hummums,1
Tailor And Clothier,1
Undertaker, Trunk Maker,1
Print Seller,1
Wire-Weaver,1
Keeps The Adam And Eve,1
Deal In Furniture,1
Keep The Crown And Anchor,1
Keeps The Nag'S Head,1
Sugar Baker,1
Keep The Crosby Head,1
Keep The Red Lion,1
Doll-Maker,1
Keep The Harrow Public-House,1
Modeller,1
Landlord Of The Coach And Horses,1
Warehousman,1
Corn-Merchants And Factors,1
Keeps A Clothes-Shop,1
Seedman,1
Keeps A Galss And China Shop,1
Linen-Draper'S Shopman,1
Japan Hat And Cap Manufacturers,1
Timber-Merchant,1
Under Cook,1
St John, Hampstead,1
Moorman,1
Marquis Of Worcester,1
Viscount Melbourne,1
Marquis Of Northampton,1
Watch-Tool Maker,1
Merchant And Dealer In Foreign Skins,1
Toy-Shop Keeper,1
Ham And Beef Shop Keeper,1
Lieutenant In The 6Th Regiment Of Foot,1
15,1
Silk-Hatter,1
Musical Instruments Seller,1
Lace-Shop Keeper,1
Pawnboker,1
Clog-Seller,1
Dealer In Hams,1
Coachman Out Of Place,1
Dealer In Looking Glasses, Cabinet Work And Tea Caddies,1
Smith And Bell-Hanger,1
Soup-Shop Keeper,1
Tailor And Hosier,1
Officer In The Army,1
Brevet Major In The 95Th Regiment,1
Foreman To A Company For Making Flour,1
Grocer And Tallow-Chandler,1
Baron Lowther,1
Member Of Parliament,1
Police-Sergeant,1
Duke Of Somerset,1
Registrar Of Births And Deaths For The Parish Of St Clement Danes,1
Dressing-Case Maker,1
Lord Bexley,1
Marquis Of Titchfield,1
Journeyman Plumber,1
Builder And Brick-Maker,1
Keep Some Refreshment Rooms,1
Gold And Silver Dial Maker,1
Keeps The King'S Arms,1
Carpet-Manufacturer,1
Keeps The Ship,1
Keeps The Rainbow Public-House,1
Keep The Goat Public-House,1
Plate-Glass Dealer,1
Wholesale Clothiers,1
Geeral Dealer,1
Keep A Linen Warehouse,1
Keeps The Sir Hugh Myddleton Public-House,1
Keep The Crown,1
Master Of The Brig Advance,1
Keep The Pewter Platter,1
Private In The First Regiment Of Guards,1
Nurseryman And Seedsman,1
Keeps The Norfolk Arms,1
Keeps The Blue Last,1
Surgeon And General Practitioner,1
Deal In Fancy-Ball Dresses,1
Keeps An Hotel, Farmer,1
Carpet And Fancy Trimming Manufacturer,1
Keep The Princess Of Wales,1
Wholesale-Stationer,1
Keeps The Royal Oak,1
Keep The Montague Arms,1
Ship-Worker,1
Boat-Builer,1
Coal And Corn Porter,1
Bottle-Merchant,1
Plate Polisher,1
Fore-Cabin Steward,1
Worked For Laundress,1
Coffee-Roaster,1
Trouser-Maker,1
Keeps A Haberdashed'S Shop,1
Keep The Merry Carpenters,1
Keep The Boston Arms,1
Wollen-Draper,1
Proprietor Of The Farmer'S Journal,1
Keeps The Old Carved Red Lion,1
Keep A Book Shop,1
Job-Master,1
Keep A Cigar Shop,1
Horse-Keeper At Mr. Burnet'S Distillery,1
Dealer In Boots And Shoes,1
Receiver,1
Dowager Duchess Of Bedford,1
Brewer'S-Servant,1
General-Dealer,1
Wholesale Draper,1
Park-Keeper,1
Keep An Upholstery And Carpet Warehouse,1
Keep The Blue Eagle Public-House,1
Colonial And General Agent,1
Keep A Watchmakers Shop,1
Milk-Man,1
Keeps A Tobacconist-Shop And Coal-Shed,1
Belong To The St. Michael Steamer,1
Gun-Polisher,1
Office-Keeper At The Metropolitan Stage-Carriage Office,1
Patten-Maker,1
Captain Of A Schooner,1
Carriage-Driver,1
Furniture Manufacturer,1
Coppersmith And Engineer,1
Wholesale Fancy Stationer,1
Working Brick-Maker,1
Sells Pork,1
Keep The Fountain,1
Hat-Manufacturer,1
Officer In The Navy,1
Keeps The French Horn,1
Managing Clerk At Somerset Wharf,1
Keeps A Grocer'S Shop,1
Tanner,1
Deal In Bacon,1
Keeps The Dorset Arms,1
Dealer In Sacks,1
Policeman, In The Employ Of The Great Western Railway Company,1
Keeps The Golden Lion,1
Keeps The City Barge,1
Stoker On A Ship,1
Ship-Joiner,1
Keeps The Iron Arms,1
Laundress At The Sailors Home,1
Glass-Merchant,1
Cab-Proprietor,1
Keeps A Pastry Cook'S Shop,1
Ship-Builder,1
Mineral Tooth-Maker,1
Livery Stable-Keeper,1
Captain In The 2Nd Regiment Of Life-Guards,1
Keeps A Glass And Earthenware Shop,1
Watch-Maker And Jeweller,1
Deal In Accoutrement Stores,1
Tin-Plate-Maker,1
Bedstead-Manufacturer,1
Horse-Dealer,1
Plumber, Painter And Glazier,1
Keeps A Shawl Warehouse,1
Keeps A Tobacconist'S Shops,1
Keeps The Wheatsheaf,1
Law-Stationer,1
Corporal In The Royal Artillery,1
Viscount Jocelyn,1
Dowager Marchioness Of Sligo,1
Baron Skelmersdale,1
Earl Of Harrington,1
Hospital Kitchen-Maid,1
Pub Potman,1
Hawker, Bricklayer And Plasterer,1
Deliver Meat, And To Receive Money,1
Employed To Wash,1
Take The Cab Men'S Money,1
Take Out Bread,1
Keeps A Lodging-House,1
Waterman And Lighterman,1
Linen Merchants,1
Keep A Toy And Fancy Repository And A Post-Office,1
Had An Ironmongery Stall,1
News-Agent,1
Copper-Merchant,1
Fish-Salesman,1
Steward Of The Prometheus,1
Clerk And Principal Of St. Mark'S College, Chelsea,1
Kept The Globe Tavern,1
Keep The Fir-Tree Public-House,1
Keep The Horseshoe And Magpie Public-House,1
Keep The Star And Garter, Kingsland,1
Fancy Dress And Masquerade Tailor,1
Governors,1
Railway Company,1
Keep Fowls,1
Watchmaker And Silversmith,1
Tobacco And Snuff-Manufacturers,1
Keep A Butcher'S Shop,1
Keep The Old Globe,1
Cab-Proprietor And Livery-Stable Keeper,1
Lightermen,1
Hammer-Man,1
Window-Glass And Lead-Merchant,1
Railway Guard,1
Servant To Dry-Salter,1
Parish Apprentice To Shoemaker,1
Apprentice Engraver,1
Page,1
Dry-Salter,1
Lumper,1
Cheese And Ham-Factor,1
Owner Of Clothes-Shop,1
Wool-Dealer,1
Ironmaster,1
Journeyman Watch-Maker,1
30,1
13,1
Manchester-Warehouseman,1
Company Chairman,1
Instrument-Maker,1
Landlord Of Royal Oak,1
Leatherseller,1
Clothier And Outfitter,1
Oyster-Shop Keeper,1
Journeyman Carver,1
Dipper Of Splints,1
Parliamentary Reporter,1
Keeps The Old Red Cross,1
Dealer In Fixtures,1
Keeps The Triumphant Chariot Public-House,1
Share-Jobber,1
Brass Founder,1
Keeps An Oil-Shop,1
Keeps The Collett Arms,1
Keep The King'S Head,1
Congreve And Safety-Light Manufacturer,1
Pastry-Cook,1
Dealer In Old Furniture,1
Silvermith, Pawnbroker,1
Keeps A Confectioner'S Shop,1
Grocer, Tea-Dealer,1
Master Of The Schooner,1
Keeps The Hope And Anchor,1
Proprietor Of Coffee-House,1
Carpenter, Joiner,1
Lessee Of The Queen'S Theatre,1
Dock-Labourer,1
Captain Of A Barge,1
Cow-Keeper, Milkman,1
Postal Worker,1
Keeps A Sailor'S Boarding-House,1
Embosser,1
Grocer, Linen-Draper,1
Brace-Manufacturer,1
City-Policeman,1
Belong To The Railway,1
Paper-Stainer,1
Market Gardener,1
Hackney-Man,1
Coal And Potato-Dealer,1
Leather-Finisher,1
Keeps A Plumber'S Shop,1
Carman, Coal-Dealer,1
Musician In The First Regiment Of Life-Guards,1
Keep A Draper'S Shop,1
Keep A General Shop,1
Blocker,1
Keeps A Corn-Chandler'S Shop,1
Lieutenant,1
Marquess Of Donegal,1
Earl Of Yarborough,1
Head Book-Keeper And Cashier,1
Keep The Three Tuns Public-House In Turnmill-Street,1
Sells Umbrellas,1
Keeps The Talbot, Public-House, Chester-Street, Belgrave-Square,1
Keeps The Queen'S Arms, Warwick-Street, Vauxhall-Bridge-Road,1
Deals In Pork,1
Keeps The Hare And Hounds, Stoke Newington,1
Make Slippers,1
Ship-Broker,1
Buy And Sell Beasts,1
Corn-Merchant,1
Roller-Maker,1
Stone Sawyer,1
Game=Keeper,1
Omnibus Propietor,1
Trimming-Factory Owner,1
Clerk, Collector,1
Fifer,1
Rule-Manufacturer,1
China-Dealer,1
Jobbing With A Horse And Cart,1
Deals In Rags,1
Bombardier,1
Warden Of Greenwich Hospital,1
Marquis Of Granby,1
Earl Digby,1
Rent-Collector,1
Foreman At Silk-Manfacturers,1
Journeyman Dyer,1
Silk-Manfacturer,1
Rag-Dealer,1
Artificial Flower Carrier,1
Washer- And Charwoman,1
Houseamid,1
Calico-Printers,1
Metal-Merchant,1
Silk Printer,1
Gun Room Cook,1
Coppersmith'S Porter,1
Keeps A Book Shop,1
Provision-Merchant,1
Easy Chair Maker,1
Goldsmith, Jeweller,1
Cabin Boy,1
Clerk At The Docks,1
Map Colourer,1
Model-Maker,1
Flower Worker,1
Draper, Hosier,1
Keeps A Manchester Warehouse,1
Keeps The Green Man,1
Builders,1
Manure Manufacturer,1
Keeps The Centurian,1
Keeps The Two Brewers,1
Earl Of Arundel And Surrey,1
Archbishop,1
Employed By Warehouseman,1
Employed By Surgical Instrument Maker,1
Servant To Carrier,1
Foreman At Flourmill,1
Book-Binder,1
Cutler And Surgical Instrument Maker,1
Butcher And Publican,1
Ship-Owner,1
Mate On Steamboat,1
Coach Builder And Propietor,1
Employed By Butcher,1
Secretary Of Working Man'S Equitable Building Society,1
Oyster-Stall-Keeper,1
Employed By Shirt Maker,1
A Jobbing Man,1
20,1
Foreman Of Building Works,1
Contractor And Agent To The Great Notheren Railway Company,1
General Warehouseman,1
Militia Officer,1
Journeyman Copper Plate Printer,1
Chop-House Keeper,1
Cow Keeper And Market Gardener,1
Leather Salesman,1
Dowager Countess Of Ashburnham,1
Earl Spencer,1
Employed By Newsagent,1
Farmer'S Weekly Servant,1
Employed By Silk-Mercer,1
Porter To Fur Manufacturer,1
Town Traveller To Tobacco Merchant,1
Farmer'S Carter,1
Cigar Merchant'S Shopman,1
Casual Porter,1
Servant To Builder,1
Employed By Grocer And Cheesemonger,1
Newspaper Agent,1
Birmingham Agent,1
Fur Manufacturer,1
Tobacco Merchant And Cigar Manufacturer,1
Servant To Linen-Draper,1
Brewer And Maltster,1
Daguerreotype Artist,1
Artist And Money-Lender,1
Servant To Carpet Manufacturer,1
Marine Store Keeper,1
Master Baker,1
Farmer'S Servant,1
Apprentice Seaman,1
Advertising Clerk,1
In Service To Newsvendor,1
Carman To Slate Merchant,1
Colonnial Broker,1
Draper And Silk Mercer,1
Porter At Bishopsgate Workhouse,1
Slate Merchant,1
Erand-Boy,1
Silk And Trimming Manusfacturer,1
Collecting-Clerk,1
Wholesale Upholsterer,1
Master Shipwright,1
Iron Moulder,1
Bell Hanger,1
Dress Amnd Mantle Maker,1
Woollen Factor,1
Book Binder,1
Keeps The Masons Arms,1
Marquis Of Donegal,1
Journeyman Printer,1
Keeps He Scotch Stores,1
Manages A Stationer'S Shop,1
Tragedian,1
Keeps A Sweet-Stuff Shop,1
Corporal In The Royal Marines,1
Secretary Of The City Of London And Tower Hamlets Cemetery Company,1
Silk Tassel Manufacturer,1
Keeps The Plough Public House,1
Assistant To A Chemist And Druggist,1
Candle-Maker,1
Hawk Boy To A Plasterer,1
Tailor And Outfitter,1
Keeps The Angel And Crown,1
Birmingham And Sheffield Man,1
Foreman To A Clothier,1
Captain Of Ship,1
Keeps A Draper'S Shop,1
Fancy Trimming Manufacturer,1
Warder At The House Of Correction,1
Civl Engineer,1
Machine Cutter,1
Officer Of The Sheriff,1
22,1
Officer Of The Customs,1
Sunday Watchman At Warehouse,1
Employed By Tailor,1
City Collecting Clerk For Bank,1
Town Traveller And Collector To Provision Merchant,1
Under Porter Court Of Bankruptcy,1
Firework-Maker,1
Firework Maker,1
Foreman To Tailor,1
Provision Merchant And Cheese Factor,1
India-Rubber Manufacturer,1
Zinc-Worker,1
Boot-Clicker,1
Clerk In The Bank Of England,1
Iron-Foundry Worker,1
Van-Man To Tea-Merchant,1
Traveller To Looking-Glass Maker And Furniture-Dealer,1
Draper And Wholesale Milliner,1
In Charge Of Barge,1
Italian Warehouse And Oilshop Owner,1
Spirit Agent And Distiller,1
Wood-Turner,1
Contractor For Forage For The Troops,1
Private Soldier Royal Marines,1
Cook And Housekeeper,1
Ship'S Chief Mate,1
Apprentice Leather Worker,1
Bird Fancier,1
Secretary And Manager To Loan Society,1
Warder Of Cold-Bath-Fields House Of Correction,1
Recruiting Sergeant,1
Keeper Of Greenwich Academy,1
Bricklayer And Builder,1
Perpetual Curate Of Paddington,1
Employed By Printers,1
Employed By Photographer,1
Letter Carrier In Post Office,1
Employed By Jeweller,1
Collector For Coal-Merchant,1
Vegetable-Shop Keeper,1
Railway Accounts Collector,1
Omnibus-Proprietor,1
Draper And Hosier,1
Ship Owner,1
Railway Company Cashier,1
Post Office Sorter And Letter Carrier,1
Emplyed By Needle Manufacturer,1
Marine-Store Dealer'S Shop Keeper,1
Oil Merchant,1
Needle Manufacturer,1
108, Limington-Street, Pimlico,1
Employed By Oil-Merchant,1
Clerk To Hotelier,1
Valet And Groom Of The Chamber,1
Rag Merchant'S Foreman,1
Rag Merchant'S Carman,1
Warehouse-Keeper,1
Oil-Merchant,1
Leather Case Maker,1
Clerk Of Works,1
Fancy Needlework,1
Factory Owner,1
India-Rubber Web Manufacturer,1
Umbrella And Parasol Manufacturer,1
Assistant-Warder At Millbank Penitentiary,1
Rev.,1
Courier To A Russian General,1
Boat Builder,1
Prepare Candidates For The Army,1
Manager Of A Co-Operative Store,1
Sub-Warder,1
Baggage Clerk For Railway Company,1
Employed By Coach-Builder,1
Seller Of Gutta-Percha And Boots,1
Publican And Landholder,1
Stableman And Cab-Driver,1
Clerk To Railway Company,1
Horse Dealer And Publican,1
Commission-Agent,1
Linendrapers,1
Clerk At Custom'S House,1
Owner Of Gutta Percha Company,1
House-Decorator,1
Publican And Fly-Master,1
Biscuit-Baker,1
Market Salesman,1
Delivery Man,1
Waiter And Servant,1
Railway Porter And Ticket Collector,1
Mantle-Maker,1
Head Waiter,1
Smith'S Labourer,1
Seaman In Royal Navy,1
Furrier'S Traveller,1
Warehouse Porter And Coachman,1
Railway Servant,1
Traveller For Stationer,1
Office Cleaner,1
Delivery-Man,1
Post-Office Employee,1
Unskilled Labourer,1
Spice Merchant,1
Fruit Broker,1
Millinery And Artificial Flower Business,1
Proprietor Of A Dairy,1
Tea Merchants,1
Keeps The George And Ball,1
Troop Sergeant-Major In The Military Train,1
Woollen-Drapers,1
Surgical Instrument Maker,1
Proprietor Of The Railway Tavern,1
Watch And Clockmaker,1
Feather Merchant,1
Civil Servant Pensioner,1
Gas-Fitter, Bell-Hanger,1
Jeweller, Pawnbroker,1
Glass Merchant,1
Pocket-Book Maker,1
Colonial Broker,1
Iron Boat-Builder,1
Labourer On Boat,1
Keeps An Hotel,1
Employed On Boat,1
Employed At The Work-House,1
Flour-Factor,1
Attendant In The British Museum,1
Excavator'S Foreman,1
Cadet In The Royal Military Academy,1
Wholesale Perfumer,1
Cape Merchant,1
Provision-Dealer,1
Military Policeman,1
Iron And Brass Founder,1
Barge-Builder,1
Master Plumber,1
Musician In The Band Of The Lincoln'S-Inn Rifle Corps,1
Commercial Clerk, Book-Keeper,1
Wheelwright And Coachwright,1
Keeps A Fancy Repository,1
Viscount Templetown,1
Polce Officer,1
Keeps The Freemasons' Arms,1
Manager At Saw Mills,1
Owner Of Saw Mills,1
Ship'S Painter,1
Landlord Of Property,1
Workman At The Royal Arsenal,1
Commission Merchant And Bill Broker,1
Messenger At Bank,1
Gold-Case Maker,1
Secretary To Italian Legation,1
Accountant'S Clerk, Lace Agent,1
Salesman In Newgate Market,1
Keeps The Whjte Hart,1
Clerk Of The Works At The London, Chatham, And Dover Railway,1
Ginger Beer Manufacturer,1
Keeps A Fancy Shop,1
Keeps An Upholsere'S Shop,1
Carcase Butcher,1
Earl Of Fife,1
Clerk At Receiving House,1
Servant To Cork Manufacturer,1
Employed By Traveller,1
Assistant And Salesman To Watch And Clock Maker,1
Butchers' Cutler,1
Wholesale Jeweller And Watchmaker,1
Scholar,1
Brewer'S Drayman,1
Unemployed Clerk,1
Pay-Sergeant,1
Seafaring Man,1
Hackney-Carriage Driver,1
Sorting Clerk On The Railway,1
Member Of The Firm Of Faraday And Davey, Wholesale Jewellers,1
Wholesale Manufacturing Jeweller,1
Managing Clerk To A Solicitor,1
Broker'S Clerk,1
Carpet Manufacturer,1
Harberdasher,1
Employed By Steel Polisher,1
Cigar Dealer,1
Whipmaker,1
Carman To Coal Merchant,1
Dealer In Clocks And Bronzes,1
Foreman To Builder,1
Provision Shop Keeper,1
Copying Clerk,1
Wine-Cooper,1
Apprentice Ironmonger,1
Wholesale Druggist,1
Sells Ginger Beer,1
Quartermaster,1
Boot And Upper Manufacturer,1
Dealer In Jewellery And Watches,1
Paper Ruler And Numrical Printer,1
Fur Cutter,1
Runs An Oil And Italian Business,1
Haddock Smoker,1
Mate On A Ship,1
Rent Collector,1
Lapidary And Glasscutter,1
Inspector At Board Of Works,1
Cigar Maufacturer,1
Engine Fitter,1
Postmaster,1
Drawing Master,1
Common Serjeant Of The City Of London,1
Store-Keeper,1
Secretary Of State For India,1
Earl Of Romney,1
Post Office Labourer,1
Marine Store-Dealer,1
Gas-Fitter,1
Roman Catholic Priest,1
Scale Fitter,1
Fiddle-Maker,1
Dog-Dancer,1
Retired Army Officer,1
